algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
6635,2272,1975,631,1940,685,589,145,
15323,3027,2496,592,5620,1475,1179,215,
20803,3403,1958,486,12275,2565,1969,285,
16777,2018,669,122,22780,3955,2959,355,
5934,749,4119,142,38011,5645,4149,425,
7666,883,3466,129,58840,7635,5539,495,
10884,1090,2480,137,86145,9925,7129,565,
14596,1216,1107,136,120800,12515,8919,635,
19439,1582,1274,146,163680,15405,10909,705,
24810,1773,1350,149,215660,18595,13099,775,
32328,2152,1568,171,277616,22085,15489,845,
47387,2987,2207,234,350420,25875,18079,915,
60703,3534,2532,270,434950,29965,20869,985,
63199,3461,2222,219,532080,34355,23859,1055,
71084,3710,2118,199,642685,39045,27049,1125,
85221,4239,2186,210,767640,44035,30439,1195,
99574,4953,2393,221,907821,49325,34029,1265,
120641,5434,2873,267,1064100,54915,37819,1335,
140706,6124,3053,280,1237355,60805,41809,1405,
